,Content,Timestamp,Coordenadas,Delito
46,#Guayaquil #Delincuencia Ciudadanos capturado a un Ladrón que le había robado un teléfono celular a una Mujer que estaba en la fila para la Vacunación. Ocurrió en Mucho Lote,2021-07-27 09:31:00,"-2.0817392, -79.9206694",1
47,#Guayaquil #Operativo Policías capturaron a unos presuntos Delincuentes en el sector de la Atarazana,2021-07-27 06:34:00,"-2.1765929, -79.88714689999999",1
48,Se reporta un nuevo caso de sicariato!! Asesinan a una persona en Samanes! Guayaquil tierra de nadie,2021-07-29 22:37:00,"-2.1138988, -79.899003",1
49,Así fue el Sicariato ocurrido en la isla trinitaria! Que pena por Guayaquil.Hemos caído tan bajo. Tierra de nadie,2021-08-28 13:07:00,"-2.2402791, -79.9220686",1
50,OTRO CASO DE SICARIATO! 35 y letamendi!!,2021-08-28 18:24:00,"-2.2126226, -79.912514",1
51,"#Guayaquil #Sicariato Reportan Un Caso de Sicariato en la Avenida Casuarina , Norte de Guayaquil",2021-08-28 17:25:00,"-2.1222554, -79.9679769",1
52,"!DELINCUENCIA IMPARABLE! En un restaurante ubicado en Sauces 6, al norte de #Guayaquil , 2 hombres armados y una mujer arrebataron las pertenencias de las personas que se encontraban dentro del local.",2021-08-28 11:46:00,,1
53,"#Guayaquil  Reportan un Sicariato en la 43 y la Q  , una Persona conocida con el alias "" Fofo "" fue baleada en el Suburbio de Guayaquil",2021-08-29 15:35:00,"-2.2277542, -79.93954389999999",1
54,"Se le queda atrapado el brazo a este delincuente que quiso robar una F150 en Urdesa, Guayaquil.",2021-09-13 12:18:00,"-2.1620979, -79.9116519",1
55,Asalto en la 13va y Vacas Galindo en Gye.,2021-09-15 01:06:00,"-2.2126226, -79.912514",1
56,Asalto en Kennedy Norte en Gye,2021-09-15 01:28:00,"-0.1407541, -78.4794568",1
57,#Guayaquil #Delincuencia Delincuentes en Motos Asaltaron y Tocaron indebidamente a 2 Mujeres en el sector de Guayacanes al Norte de la Ciudad,2021-09-25 11:03:00,"18.4249461, -69.4575979",1
58,"#Guayaquil, Reportan un Caso de Sicariato en la Cooperativa Trinidad de Dios al Norte de Guayaquil",2021-09-28 16:46:00,"28.5392576, 33.9749193",1
59,"#URGENTE: sube a 35 el número de muertos en el enfrentamiento de hoy en la Penitenciaría del Litoral, en #Guayaquil.",2021-09-28 10:06:00,"-2.0721549, -79.9345141",1
60,Nuevo motín en cárcel de #Guayaquil deja al menos 30 reclusos muertos.El episodio de violencia arrancó con un enfrentamiento entre bandas rivales. Es el tercero en lo que va de año. La cifra de muertes en centros penitenciarios de #Ecuador se ha triplicado en 2021.,2021-09-29 17:15:00,"-2.0721549, -79.9345141",1
61, ALERTA Continúan detonaciones de arma de fuego en la #PenitenciariaDelLitoral de #Guayaquil.  Noticia en desarrollo.,2021-09-29 23:59:00,"-2.0721549, -79.9345141",1
62,Policías detienen a delincuente por la calle Miguel H. Alcivar en Guayaquil,2021-10-07 11:00:00,"-2.1765929, -79.88714689999999",1
63,Robo de retrovisores en menos de 10 segundos.,2021-10-13 06:47:00,"-2.2277542, -79.93954389999999",1
64,Disturbios fuera de Urbanización Metrópolis 2. Habría ocurrido porque la seguridad desalojó del parque a esta mujer que se encontraba armada con un cuchillo y bajo la influencia de estupefacientes según nos reportan.,2021-10-13 06:43:00,,1
65,URGENTE Reportan Balacera en el Centro Comercial Policentro en Guayaquil causada por dos delincuentes que intentaron robar un banco en dicho centro comercial.,2021-10-14 16:04:00,"-0.1407541, -78.4794568",1
66,"Ladrón que venía robando en una casa, es atrapado en un bus. Esto fue lo que pasó cuando lo agarraron. Sucedió en el Sur de Guayaquil",2021-10-15 09:55:00,"-2.2277542, -79.93954389999999",1
67,"Asesinan a una mujer con 5 tiros cerca de un parque en Sauces 6, Guayaquil",2021-10-18 19:58:00,,1
68,"Delincuentes capturados por la  @PoliciaEcuador Cuatro delincuentes asaltaron un cyber en sur de Guayaquil, un fuerte contingente policial logró detenerlos, uno de los delincuentes fue abatido producto a la resistencia en la captura.",2021-10-21 15:15:00,"-2.2277542, -79.93954389999999",1
69,"Volvimos a un día normal en GuayaKill!! Asaltan a un señora que iba con su celular en la mano con la ventana abajo!!! Esto fue al sur de la ciudad, por la coviem",2021-10-21 18:02:00,,1
70,ADVERTENCIA: Imágenes fuertes Asesinan al velocista Ecuatoriano Álex Quiñónez y a otra persona más en #Guayaquil en Colinas de la Florida. Compartimos el video en el sitio.,2021-10-22 23:22:00,"-2.1230321, -79.9514464",1
71,"Asalto en GuayaKill! La delincuencia no para!! Un sujeto fue sorprendido por un ladrón y su acompañante venía en una moto, esto ocurrió en colinas de la alborada",2021-10-22 17:01:00,,1
72,"Si ya saben que estamos en la #$&##$ con la delincuencia, porque dan papaya así?! Esto ocurrió hace pocos minutos en Vergeles al norte de GuayaKill",2021-10-22 11:01:00,"-2.2514992, -79.8793833",1
73,"Repitan conmigo: NO DEBO IR CON EL CELULAR EN LA MANO, CON LA VENTANA ABAJO EN TRÁFICO PESADO EN GUAYAQUIL. Si valoran sus pertenencias #NoDenPapaya",2021-10-23 18:43:00,"-2.194905, -79.884937",1
74,Comerciantes del sector comercial La Bahía en Guayaquil atrapan a delincuente y le dan paliza ,2021-10-24 21:01:00,"-2.194905, -79.884937",1
75,Delincuente atrapado por ciudadanos en el norte de Guayaquil en la cdla. Martha de Roldós. Su complice era una mujer que logró darse a la fuga. Ambos robaban con cuchillos. Vean el video.,2021-10-27 17:28:00,"-2.2758147, -79.887782",1
76,ATENCIÓN Vendedor ambulante impide robo en el centro de Guayaquil. Por más gente así,2021-10-27 15:48:00,"-2.194905, -79.884937",1
77,"Así roban en #Guayaquil. Delincuentes asaltaron a los ocupantes de un carro en Lomas de Urdesa, norte de la ciudad. #Inseguridad",2021-10-28 23:56:00,"-2.1620979, -79.9116519",1
78,"Con las manos en la masa. Veinte detenidos y 1.5 toneladas de cocaína incautada dejó un operativo entre Policía y Fiscalía en un galpón ubicado en la Av. Narcisa de Jesús, norte de #Guayaquil. Los descubrieron mientras cargaban un contenedor que tenía como destino Nueva Zelanda.",2021-10-29 13:56:00,,1
79,Guasmo Sur Policía Nacional capturó a un delincuente que aprovechaba la Madrugada para asaltar en Domicilio,2021-10-29 21:18:00,"-2.2805355, -79.8757351",1
80,"Ni el ""gusanito"" se salva. Delincuentes robaron dinero en efectivo y celulares a un grupo de personas que estaban dentro de este vehículo de diversión, a la altura de Guerrero Martínez y Francisco de Marcos, sur de #Guayaquil. ",2021-10-29 12:18:00,"-2.2126226, -79.912514",1
81,"Asalto en estos momentos, en la av plaza dañin, frente al hogar San José",2021-11-09 13:42:00,"-0.1407541, -78.4794568",1
82,#Guayaquil #Delincuencia Intento de Robo se registró en Mucho Lote 2 al Norte de la Urbe,2021-11-29 13:25:00,"-2.0646512, -79.8926809",1
83,Delincuentes disparan a ciudadano en el sector de Los Ceibos en la calle José de Rubira Ramos en #Guayaquil,2021-12-02 15:07:00,"-2.1666402, -79.94511349999999",1
84,"#ATENCIÓN En plena fiesta navideña, un ciudadano fue captado mostrando una arma de grueso calibre en las calles, en la 14 y Venezuela, sector La Chala, sur de #Guayaquil",2021-12-25 14:42:00,,1
85,"Intento de robo en la via Daule, policías se percatan y actúan enseguida, pero se les va el de la moto",2021-12-28 13:51:00,,1
86,URGENTE!! Se reporta intento de fuga masiva en la penitenciaria!!,2021-12-28 12:29:00,"-2.0721549, -79.9345141",1
87,"#Guayaquil #Cronica Un Sujeto fue Baleado en el Guasmo Norte , al Sur de la Urbe",2021-12-28 21:02:00,"-2.254868, -79.87929869999999",1
88,Video sobre el sicariato en la salida del parqueo de @MALLDELSOL_EC esta noche.,2021-12-30 01:29:00,"-2.1522715, -79.8919811",1
89,Hombre se salva de ser asesinado en el Guasmo sur en Guayaquil,2021-12-30 13:27:00,"-2.2805355, -79.8757351",1
90,Delincuentes en moto se le robaron el celular a un ciudadano cuando entraba a su domicilio en el sector de Nueva Prosperina al norte de la ciudad,2022-12-30 20:30:02,"-2.1222554, -79.9679769",1
91,Delincuentes en moto intentaron asaltar a una persona en las Malvinas al sur de la ciudad,2022-12-30 18:15:10,"-2.2124625, -79.9008714",1
92,Una Banda de delincuentes intentan robar a ocupantes de un vehículo en la Perimetral a la altura del Trinipuerto,2022-12-30 15:27:06,"-2.2402791, -79.9220686",1
93,Video muestra como fue el ataque armado que paso en bloques de la Valdivia al sur de la ciudad,2022-12-29 11:03:15,"-39.8173788, -73.24253329999999",1
94,"Sujetos armados dispararon a varias personas que se encontraban jugando naipes en el sector de bloques de la Valdivia al sur de la ciudad, reportes preliminares indican 2 muertos y 2 heridos",2022-12-29 10:12:07,"-39.8173788, -73.24253329999999",1
95,Delincuente intento meterse a un domicilio luego subirse por una pared sucedió en Los Esteros al sur de la ciudad,2022-12-29 10:03:09,"-2.2438091, -79.9066763",1
96,"En un rapido operativo, la policía capturó a delincuentes que cometieron un asalto en el sector de Fertisa al sur de la ciudad",2022-12-28 20:41:03,"-2.2553371, -79.9000381",1
97,Un vehículo y parte de una vivienda sufrieron daños debido a un ataque con un artefacto explosivo en el sector de Urdesa al norte de la ciudad,2022-12-28 19:54:17,"-2.1620979, -79.9116519",1
98,Delincuentes asaltaron una peluquería ubicada en el Guasmo Sur,2022-12-27 18:20:37,"-2.2805355, -79.8757351",1
99,"En Pascuales encontraron la cabeza de un hombre decapitado, aún se desconoce el paradero del resto del cuerpo. En este mes de diciembre es el tercer descubrimiento de este tipo de suceso que se da en esa parte de la ciudad.",2022-12-27 17:50:09,"-2.0721549, -79.9345141",1
100,Se registró un caso Sicariato en el sector de la Gallegos Lara al norte de la ciudad,2022-12-25 15:27:45,,1
101,Varios ataques se reportaron en algunas cooperativas del Guasmo Sur donde datos preliminares informan de 5 muertos y 5 heridos en ambas cifras hay víctimas colaterales incluidos menores de edad,2022-12-24 21:20:18,"-2.2805355, -79.8757351",1
102,Con ambiente de nochebuena y navidad en las últimas horas se  reportaron un caso de sicariato en paraíso de la flor,2022-12-24 20:14:36,"-2.0963827, -79.9430537",1
103,Delincuentes asaltaron violentamente a una mujer en Mucho Lote 1 etapa 3 al norte de la ciudad;,2022-12-24 16:15:20,"-2.0817392, -79.9206694",1
104,Un objeto explosivo fue arrojado a una vivienda ubicada en la calle 17 y Medardo Ángel Silva;,2022-12-24 15:49:51,"-2.2277542, -79.93954389999999",1
105,Una pandilla de delincuentes asaltó violentamente un camión repartidor de cervezas en el sector de Virgen del Quinche ubicado en el Guasmo Sur,2022-12-23 16:25:30,"-2.2805355, -79.8757351",1
106,"Se registró un caso de sicariato en el interior de un negocio con el saldo de 2 fallecidos ( una mujer fue víctima colateral del suceso ) además se reporta un herido, sucedió en Mapasingue Este cerca a la Av. Costanera;",2022-12-21 22:19:59,"-2.155993, -79.9215725",1
